PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
relaxation delay setting,scan delay setting,nmr,result,A relaxation delay setting is a nuclear magnetic resonance setting that specifies the duration of time the NMR allocates for the nuclei spin states to return to their original state after being exposed to the radio pulse. [Allotrope],,,,nuclear magnetic resonance setting,http://purl.allotrope.org/ontologies/result#AFR_0002976
removing,removal,aft,process,Taking away a part of a flow from its prefixed place. [NIST],,,,separating,http://purl.allotrope.org/ontologies/process#AFP_0003473
removing data,,aft,process,Removing data is a data transformation that removes parts from an aggregate of data. [Allotrope],,,,data transformation,http://purl.allotrope.org/ontologies/process#AFP_0000983
removing material,extracting material,afo,process,A spatial process of removing a material from a site. [Allotrope],,,,separating material,http://purl.allotrope.org/ontologies/process#AFP_0003574
repeatable,recurring; loop,aft,role,A single step that can be repeated multiple times during a procedure. [Allotrope],,,A single data acquisition that is repeated multiple times with the same settings during a data acquisition profile.,workflow role,http://purl.allotrope.org/ontologies/role#AFRL_0000476
repeated action role,repetition role; repeated action,afo,role,A repeated action role is a contextual role of an action specification that specifies the repeated action in a repeated action specification. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000521
repeated action specification,repetition specification,afo,result,An repeated action specification is an action specification that specifies a repeated activity. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001972
repeated process,repetition,afo,process,A repeated process is a composite process that has occurrent parts of subprocesses following the same plan. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003727
repelling,keeping separated,aft,process,A spatial change processing the increases the spatial distance from the start. [Allotrope],,,,moving,http://purl.allotrope.org/ontologies/process#AFP_0003394
repetition setting,,afo,result,A repetition setting is a control setting that specifies the number of times an action is to be repeated. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001678
report,,aft,"",A report is a document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. [IAO],,,patent application; grant progress report; journal article; case report (not patient record),document,http://purl.obolibrary.org/obo/IAO_0000088
report method,,afo,result,"A report method is a plan specification that serves as a template to organize the data, results, and method contents in a generated report. The report method is independent of any data that the report contains. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002332
reporter data cube,,qpcr,result,A reporter data cube is a data cube that represents a plot of reporter dye result against cycle. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002911
reporter dye role,reporter dye,pcr,role,Reporter dye role is the role of a dye in a PCR experiment that binds to target DNA molecules and is detected via fluorescence when it is cleaved free. The fluorescence signal is proportional to DNA concentration. [Allotrope],,,,PCR role,http://purl.allotrope.org/ontologies/role#AFRL_0000536
reporter dye setting,reporter dye,pcr,result,A reporter dye setting is a setting that classifies the reporter dye used in the PCR experiment. [Allotrope],,,,PCR setting,http://purl.allotrope.org/ontologies/result#AFR_0002243
reporting,,afo,process,Reporting is an information process that produces a report. [Allotrope],,,,planned process; information process,http://purl.allotrope.org/ontologies/process#AFP_0003729
representation form,,aft,result,A representation form is a type of information content entity that represents an entity in a certain way. [Allotrope],,http://www.ei.sanken.osaka-u.ac.jp/pub/miz/Part3V3.pdf,plot as representation form of a temperature profile,information content entity,http://purl.allotrope.org/ontologies/result#AFR_0000992
request queue,measurement queue,aft,result,A list used to sequence objects and to line up requests for a resource. [NCI],,,,sequential procedure specification,http://purl.allotrope.org/ontologies/result#AFR_0001263
requirement,,aft,result,A requirement is a proposition that states a set of conditions that have to be fulfilled to achieve some specific objective. [Allotrope],The goal can be stated in a prescriptive (laws) or directive (plans) way. [Allotrope],,,proposition,http://purl.allotrope.org/ontologies/result#AFR_0001872
researcher,,aft,role,A researcher is the role of an organizational entity that researches something. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000405
reservoir,,afo,equipment,The reservoir is a container that stores solutions. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000378
reservoir temperature,,afo,result,A reservoir temperature is a quantity facet that quantifies the temperature of some reservoir. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002616
reset command,reset,aft,result,A reset command is a process command that causes a transition to the idle state. [Allotrope],,,,process command,http://purl.allotrope.org/ontologies/result#AFR_0001631
resolution,,aft,result,"Resolution is a description of the smallest change in a quality being measured by a sensor (measurement instrument, detector) that causes a perceptible change in the corresponding indication. [Allotrope]",,International Vocabulary of Metrology – Basic and General Concepts and Associated Terms (VIM 3rd edition) JCGM 200:2012,,description,http://purl.allotrope.org/ontologies/result#AFR_0001619
resolution (quality),resolution,aft,quality,"Resolution is the quality of a sensor (measurement instrument, detector) to be able to measure the smallest change in a qualities that causes a perceptible change in the corresponding indication. [Allotrope]",,International Vocabulary of Metrology – Basic and General Concepts and Associated Terms (VIM 3rd edition) JCGM 200:2012,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000237
resonance,,afo,result,A resonance is a quality quantification facet that quantifies some resonance. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003148
resonance (quality),,aft,quality,A resonance (quality) is a quality inhered in a system by virtue of that system's response to oscillations of the system components at matching frequencies. [Allotrope],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000370
resource unit,,schema/qudt,"",A Resource Unit is a unit for measuring the amount of various types of resources.,,,,unit of measure,http://qudt.org/schema/qudt#ResourceUnit
response per time unit,,qudt-ext,"",A commonly used abstraction for dimensionless response rate measurements.,,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#ResponsePerTimeUnit
response unit,,qudt-ext,"",A commonly used abstraction for dimensionless response measurements.,,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#ResponseUnit
restart command,restart,aft,result,A restart command is a process command that orders the procedural element to execute the restarting logic to safely return to the running state. [Allotrope],,,,process command,http://purl.allotrope.org/ontologies/result#AFR_0001628
resting state,staying in place,aft,process,A state when material object keeps its spatial location and orientation. [Allotrope],,,,spatial state,http://purl.allotrope.org/ontologies/process#AFP_0003395
result role,result,aft,role,Result role is a data output role that applies to new information produced by a process. [Allotrope],,,,data output role,http://purl.allotrope.org/ontologies/role#AFRL_0000299
result specification,,aft,result,A participant specification that specifies a information objects that have the contextual role of a result in the realized process. [Allotrope],,,,participant specification,http://purl.allotrope.org/ontologies/result#AFR_0000978
result value specification,,afo,result,A result specification is a specification of acceptable limits for a result or set of results. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002437
resume command,resume,aft,result,A resume command is a process command that orders a procedural element that has paused at a programmed transition as the result of either a pause command or a single step mode to resume execution. [Allotrope],,,,process command,http://purl.allotrope.org/ontologies/result#AFR_0001632
retentate role,retentate,aft,role,The retentate role is the role of the material that is retained by a filtration process. [Allotrope],,"PAC, 1972, 31, 577 (Manual of Symbols and Terminology for Physicochemical Quantities and Units, Appendix II: Definitions, Terminology and Symbols in Colloid and Surface Chemistry) on page 608",,filtration role,http://purl.allotrope.org/ontologies/role#AFRL_0000232
retention time,,chromatography,result,Retention time is a chromatography peak facet that indicates the elapsed time between the injection of the sample and the maximum detector response attributed to the peak (analyte band). [Allotrope],,,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0001089
retention time window lower offset,,chromatography,result,The retention time window lower offset is the extent of the retention time window in time units below the target retention time. [PSI/MS],The lower and upper offsets may be asymmetric about the target time. [PSI/MS],,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0001946
retention time window upper offset,,chromatography,result,The retention time window upper offset is the extent of the retention time window in time units above the target retention time. [PSI/MS],The lower and upper offsets may be asymmetric about the target time. [PSI/MS],,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0001947
retention time window width,,chromatography,result,The retention time window width it the full width of a retention time window for a chromatographic peak. [PSI/MS],,,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0001948
retention volume,,chromatography,result,Retention volume is a chromatography peak facet that indicates the acquisition volume at the maximum detector response attributed to the peak (analyte band). [Allotrope],,,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0002521
retention volume (quality),retention volume,chromatography,quality,"Retention volume is the volume of the mobile phase required to elute a component the concentration of which in the stationary phase is negligible compared to that in the mobile phase. In other words, this component is not retained at all by the stationary phase. Thus, the hold-up volume is equal to the retention volume of an unretained compound. The hold-up volume includes any volumes contributed by the sample injector, the detector, and connectors.  In gas chromatography this term is also called the gas hold-up volume. The corrected gas hold-up volume is the gas hold-up volume multiplied by the compression (compressibility) correction factor. [IUPAC]",,"PAC, 1993, 65, 819 (Nomenclature for chromatography (IUPAC Recommendations 1993))",,,http://purl.allotrope.org/ontologies/quality#AFQ_0000171
retriever,,audit,audit,The retriever is an agent role in an audit trail who pulled the record from somewhere. [Allotrope],,,,agent role,http://purl.allotrope.org/ontologies/audit#Retriever
reversed-phase chromatography,reverse phase chromatography; reverse-phase chromatography; RPC; reversed phase chromatography,chromatography,process,"A separation method where the components are distributed between two phases, one of which is stationary and non-polar, while the other is polar and moves in a definite direction. [CHMO]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0002361
reversed-phase high-performance liquid chromatography,reversed phase high-performance liquid chromatography; reverse phase  high performance liquid chromatography; RHPLC; RP-HPLC; reversed-phase high-pressure liquid chromatography; gradient reverse HPLC; reversed-phase high pressure liquid chromatography; gradient reverse high-performance liquid chromatography; reversed-phase HPLC,lc,process,"Liquid chromatography where the inlet pressure is relatively high and the mobile phase is significantly more polar than the stationary phase (which consists of very small particles), for example a microporous silica-based material with chemically bonded alkyl chains. [CHMO]",,,,high-performance liquid chromatography,http://purl.allotrope.org/ontologies/process#AFP_0001719
reversed-phase liquid chromatography,RPLC; reversed phase liquid chromatography,lc,process,"Liquid chromatography where the mobile phase is significantly more polar than the stationary phase, for example a microporous silica-based material with chemically bonded alkyl chains. [CHMO]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0001410
review,,audit,audit,A critical assessment of an electronic record or the changes thereof. [Allotrope],,,,activity,http://purl.allotrope.org/ontologies/audit#Review
reviewer,,aft,role,A reviewer is the role of an agent that reviews some information. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000407
reviewer,,audit,audit,The reviewer is an agent role in an audit trail who assessed changes to an electronic record. [Allotrope],,,,contributor,http://purl.allotrope.org/ontologies/audit#Reviewer
revision record dataset,,audit,audit,A revision record dataset is an audit record dataset that contains the metadata and data that is needed to record revisions of an electronic record in an activity. [Allotrope],,,,derivation record dataset,http://purl.allotrope.org/ontologies/audit#RevisionRecordDataset
rheometry,rheology; rheological measurements,aft,process,The study of the flow of fluids which cannot be defined by a single value of viscosity. Rheometry is the measurement of the relationship between deformation and stress for these liquids. [CHMO],,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0000840
rheometry aggregate document,,rheometry,result,A rheometry aggregate document is a document that aggregates rheometry documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003059
rheometry curve,,rheometry,result,A rheometry curve is a data distribution function that is the plot of the rheological properties of some fluid. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003069
rheometry data cube,rheometry curve data cube,rheometry,result,A rheometry data cube is a data cube that is a representation of a rheometry curve. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003068
rheometry document,,rheometry,result,A rheometry document is a document that encompasses the information associated with a rheometry run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003060
right unbounded selection,,datacube,datacube,A right unbounded selection is a dimension selection on a dimension which represents an ordinal scale. A right unbounded selection must define a minimum. [Allotrope],,,,component selection,http://purl.allotrope.org/ontologies/datacube#RightUnboundedSelection
rinse solution role,flush; rinsing agent; rinse; rinsing role; rinsing solution; rinse solution,aft,role,The rinse solution role is a cleaning agent role of a fluid used to flush something in order to remove contaminants. [Allotrope],,,,cleaning agent role,http://purl.allotrope.org/ontologies/role#AFRL_0000363
rinsing,purging; flushing,aft,process,Rinsing is the process of washing quickly a device with a solution. [Allotrope],,,,washing,http://purl.allotrope.org/ontologies/process#AFP_0001750
role,,bfo-2-0,"","B is a role means: b is a realizable entity and b exists because there is some single bearer that is in some special physical, social, or institutional set of circumstances in which this bearer does not have to be and b is not such that, if it ceases to exist, then the physical make-up of the bearer is thereby changed. [BFO]",,,"the role of subject in a clinical trial; the student role; the role of a building in serving as a military target; the priest role; the role of a stone in marking a property boundary; John’s role of husband to Mary is dependent on Mary’s role of wife to John, and both are dependent on the object aggregate comprising John and Mary as member parts joined together through the relational quality of being married.; the role of a boundary to demarcate two neighboring administrative territories",realizable entity,http://purl.obolibrary.org/obo/BFO_0000023
role class datum,role datum,afo,result,A role class datum is a classification datum that classifies an entity by the role or contextual role class it plays in the context of the classification datum. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001509
role coordination,,class-coordination,result,A role coordination is a class coordination of a class with the class of general role its instances have. [Allotrope],,,A reference column is a class of columns that have an reference role. [Allotrope],,http://purl.allotrope.org/ontologies/result#AFR_0001564
role specification,,aft,result,A specification that specifies a participant in a process by the general role it plays in it. [Allotrope],,,,participant specification,http://purl.allotrope.org/ontologies/result#AFR_0000979
room,,aft,spatial,"A room is a site that is a part or division of a building enclosed by walls, floor, and ceiling. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/spatial#AFSP_0000004
rotational speed,,aft,result,A rotational speed is a quality quantification facet that quantifies some rotational speed. [Allotrope],,,,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002842
rotational speed (quality),,aft,quality,A rotational speed is a movement quality inhering in a bearer by virtue of the bearer's frequency of rotation. [Allotrope],,,,movement quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000359
row index,,aft,result,A row index is the index of a table cell with respect to the rows of the table containing that table cell. [Allotrope],,,,index,http://purl.allotrope.org/ontologies/result#AFR_0003123
running state,is executing; executing state; running; is running; executing,aft,process,A running state is a state during which a device or service performs its specified function in normal operation. [Allotrope],,,,process state,http://purl.allotrope.org/ontologies/process#AFP_0003665
sample aggregate document,sample aggregate result,afo,result,A sample aggregate document is a document that is about an ordered collection of samples. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002082
sample document,sample result,afo,result,A sample document is a document about a particular sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002083
sample flow rate data cube,,chromatography,result,A sample flow rate data cube is a data cube that represents the flow rate through the sample pump of a chromatograph. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002707
sample flow rate profile,,chromatography,result,A sample flow rate profile is a flow rate profile of the flow rate through the sample pump of the chromatograph. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002418
sample identifier,sample id; sample ID,afo,result,Sample id is a measurement metadata that identifies a sample being measured. [Allotrope],,,,material identifier,http://purl.allotrope.org/ontologies/result#AFR_0001118
sample inlet,,system,equipment,A sample inlet is an in port of a measurement or separation device where sample material is passing in to the device. [Allotrope],,,,in port,http://purl.allotrope.org/ontologies/equipment#AFE_0000462
sample introduction,,afo,process,A sample introduction is a loading of some sample into a system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003813
sample introduction description,,afo,result,A sample introduction description is a description that describes the process of sample introduction. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002648
sample introduction document,,afo,result,A sample introduction document is a document that encompasses the information associated with the process of sample introduction. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002645
sample introduction medium,,afo,result,A sample introduction medium designates the material type that is used as medium (role) in a sample introduction process in a measurement. [Allotrope],,,"Acetonitrile as the solvent in liquid chromatography, or nitrogen as the carrier gas in gas chromatography.",,http://purl.allotrope.org/ontologies/result#AFR_0002649
sample introduction medium role,sample introduction medium,afo,role,A sample introduction medium is the role of a material that carries the sample in a sample introduction process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000549
sample introduction mode setting,,afo,result,"A sample introduction mode setting is a control setting that specifies the type of sample introduction process to be used, which is the process of loading the sample into a system. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002646
sample measurement interface,,afo,equipment,A sample measurement interface is a connecting device through which measurements are captured. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002253
sample measurement interface type,,afo,result,A sample measurement interface type is a classification datum that classifies the sample measurement interface used by a measuring process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002391
sample pan role,sample pan,differential-scanning-calorimetry,role,A sample pan role is the role of the measurement pan realized in a DSC measurement that contains the sample. [Allotrope],,,,differential scanning calorimetry role,http://purl.allotrope.org/ontologies/role#AFRL_0000525
sample passage,,aft,equipment,A sample passage is the compartment of a device that handles the conveying of samples. [Allotrope],,,,compartment,http://purl.allotrope.org/ontologies/equipment#AFE_0000022
sample preparation,preparative method; sample transformation method; sample processing; sample preparation step; sample preparative method,afo,process,"Sample preparation is a planned preparation process that synthesizes, converts or changes a sample. [Allotrope]",,,,material process; planned process,http://purl.allotrope.org/ontologies/process#AFP_0001159
sample preparation aggregate document,,afo,result,A sample preparation aggregate document is a document that aggregates sample preparation documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002369
sample preparation description,,afo,result,A sample preparation description is a description of the sample preparation process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002202
sample preparation document,,afo,result,A sample preparation document is a document about a sample preparation process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002370
sample role,sample,aft,role,A sample role is a type of role whose bearer is a material entity that is the output of a sampling. [Allotrope],,,,sampling role,http://purl.allotrope.org/ontologies/role#AFRL_0000035
sample role (preparation),sample (preparation); sample; sample role,afo,role,A sample role (preparation) is a role of a portion of material that is prepared for bearing the sample role in an experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000508
sample role type,sample type,afo,result,A sample role type is a classification datum that classifies samples by the type of  sample role in the experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002242
sample set role,sample set,aft,role,The sample set role is the role of the partition of the population object aggregate that was selected in the sampling process. [Allotrope],,,,sampling role,http://purl.allotrope.org/ontologies/role#AFRL_0000371
sample shape classification,,afo,result,A sample shape classification is a classification datum that classifies the shape of the sample undergoing testing. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002574
sample suspension media,,particle-size-distribution,result,Sample suspension media is a description that describes the suspension media used in preparation of the sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002184
sample temperature,sample temperature (datum); sample temperature result,aft,result,A sample temperature result is a quality quantification facet that quantifies the temperature of the sample. [Allotrope],,,,temperature,http://purl.allotrope.org/ontologies/result#AFR_0002149
sample temperature setting,,afo,result,A sample temperature setting is a temperature control setting to set the target temperature of the sample. [Allotrope],,,,temperature setting,http://purl.allotrope.org/ontologies/result#AFR_0002148
sample thickness,,afo,result,A sample thickness is a quality quantification facet that quantifies the thickness of some sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002575
sample volume setting,,afo,result,A sample volume setting is a control setting specifying the volume of sample to be used in a measurement. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002492
sample weight,sample mass,afo,result,Sample weight is a quantification facet that quantifies the mass of a sample in an analysis. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001982
sample weight before drying,,loss-on-drying,result,The sample weight before drying is a mass facet that quantifies the mass of a sample before the sample is dried. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001931
sample width,,afo,result,A sample width is a quality quantification facet that quantifies the horizontal length of a sample at the point of measurement. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002576
sampler,sampling unit,aft,equipment,A sample is a device that function to sample known amounts of material. [Allotrope],,"PAC, 1989, 61, 1657 (Nomenclature for automated and mechanised analysis (Recommendations 1989))",,device,http://purl.allotrope.org/ontologies/equipment#AFE_0001711
sampling,,aft,process,Sampling is the process of taking parts or partitions of an object aggregate or data set for the interest for studying it. [Allotrope],,,,branching,http://purl.allotrope.org/ontologies/process#AFP_0003634
sampling data,,aft,process,Sampling data is sampling on a set of data items. [Allotrope],,,,sampling,http://purl.allotrope.org/ontologies/process#AFP_0003635
sampling depth setting,,afo,result,A sampling depth setting is a control setting that specifies the focal depth of a probing signal. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002933
sampling material,sample taking; sampling,aft,process,Sampling material is sampling of a material of interest for studying. [Allotrope],,,pulling a small sample outside a bioreactor,sampling,http://purl.allotrope.org/ontologies/process#AFP_0001319
sampling orientation,,afo,quality,Sampling orientation is a system configuration of a separation device that is the direction of separation relative to the movement of the sampled material in the device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000343
sampling orientation code,,afo,result,A sampling orientation code is a code that indicates a sampling orientation. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002596
sampling orientation type,,afo,result,"A sampling orientation type is a classification datum that classifies the orientation of the cuts used to separate a sample from the material it was derived from, relative to the device extruding the material. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002573
sampling role,,aft,role,A sampling role is a role of an object aggregate or a member of that aggregate that participates in a sampling process on the aggregate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000369
sampling specification,,afo,result,A sampling specification is an action specification of the way a sampling is done. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001124
sampling time,,afo,result,A sampling time is an elapsed time at which a sample was taken from a process measured from the start of that process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002821
sampling type,,afo,result,A sampling type is a classification datum that classifies the type of sampling approach used to take a sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002610
saturated gas flow rate,,dynamic-vapor-sorption,result,A saturated gas flow rate is a flow rate that quantifies the motion of the saturated gas over time. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002154
saturated gas flow rate setting,,dynamic-vapor-sorption,result,A saturated gas flow rate setting is a setting that specifies the target saturated gas flow rate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002153
saturated gas role (DVS),saturated gas role; saturated gas,dynamic-vapor-sorption,role,A saturated gas role is the role of the gas saturated with the vapor in a dynamic vapor sorption process. [Allotrope],,,,dynamic vapor sorption role,http://purl.allotrope.org/ontologies/role#AFRL_0000531
saturation vapor pressure,saturation vapor pressure result; saturation vapor pressure (datum); saturation pressure; saturation pressure result,aft,result,A saturation pressure (datum) is a quality quantification facet that quantifies the saturation vapor pressure of a substance. [Allotrope],,,,pressure,http://purl.allotrope.org/ontologies/result#AFR_0002119
saturation vapor pressure (quality),saturation vapor pressure,aft,quality,The pressure exerted by a pure substance (at a given temperature) in a system containing only the vapor and condensed phase (liquid or solid) of the substance. [IUPAC],,"PAC, 1990, 62, 2167. (Glossary of atmospheric chemistry terms (Recommendations 1990)) on page 2212",,pressure (quality),http://purl.allotrope.org/ontologies/quality#AFQ_0000275
scalar URI datum,URI datum; URI value; URI,aft,result,A scalar datum that has a URI as value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0001513
scalar boolean datum,boolean; boolean value; boolean datum,aft,result,A scalar datum that has a boolean value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0001510
scalar categorical datum,scalar nominal datum,aft,result,A scalar categorical datum is a type of datum that describes something based on a scalar value for a kind of category. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0000987
scalar datum,scalar; scalar value,aft,result,A scalar is an element of a field which is used to define a vector space. [Wikipedia],,https://en.wikipedia.org/wiki/Scalar_(mathematics),,tensor datum,http://purl.allotrope.org/ontologies/result#AFR_0000961
scalar decimal datum,,aft,result,A datum that is a decimal value. [Allotrope],,,,scalar number datum,http://purl.allotrope.org/ontologies/result#AFR_0000985
scalar double datum,,aft,result,A scalar double datum is a scalar floating point number datum having a IEEE double precision datum (xsd:double). [Allotrope],,,,scalar floating point number datum,http://purl.allotrope.org/ontologies/result#AFR_0001104
scalar float datum,,aft,result,A scalar double datum is a scalar floating point number datum having a IEEE single precision datum (xsd:float). [Allotrope],,,,scalar floating point number datum,http://purl.allotrope.org/ontologies/result#AFR_0001288
scalar floating point number datum,,aft,result,A datum that is a IEEE floating point value. [Allotrope],,,,scalar number datum,http://purl.allotrope.org/ontologies/result#AFR_0000986
scalar integer datum,scalar integer value,aft,result,A datum that is an integer value. [Allotrope],,,,scalar number datum,http://purl.allotrope.org/ontologies/result#AFR_0000983
scalar number datum,,aft,result,A scalar datum that has a numeric value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0000988
scalar quantity datum,scalar quantity; scalar quantity value,aft,result,A scalar quantity datum is a type of datum that is about a quantity and quantifies by a scalar value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0000989
scalar range datum,scalar range; scalar range value,aft,result,A scalar range datum is a type of datum that is about range quantified by a scalar value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0000967
scalar string datum,string value; string datum; scalar text datum; string,aft,result,A scalar datum that has a textual value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0001511
scalar timestamp datum,timestamp datum; timestamp; scalar datetime datum; timestamp value,aft,result,A scalar datum that has a timestamp (xsd:dateTime) literal value. [Allotrope],,,,scalar datum,http://purl.allotrope.org/ontologies/result#AFR_0001512
scale,,datacube,datacube,A scale is a categorization of types of variables. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube#Scale
scale mapping,,datacube-hdf-mapping,datacube-hdf-map,is part of a mapping and maps exactly one scale of a corresponding data structure definition from technical indices to scale values. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube-hdf-map#ScaleMapping
scan position configuration (plate reader),scan position configuration; scan position; scan position (quality),plate-reader,quality,A scan position configuration is a system configuration of a the detector in a plate reader that is the position of the detector above or below the well plate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000330
scan position setting (plate reader),,plate-reader,result,A scan position setting is a setting that specifies whether the detector is positioned underneath the microplate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002452
scan speed setting (electron microscopy),scan speed setting,electron-microscopy,result,A scan speed setting is a control setting that specifies the speed at which the radiation beam scans some sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002476
scanning,scan,afo,process,Scanning is measuring repeatedly or sweepingly. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0001146
scanning calorimetry,,aft,process,"The measurement of thermodynamic parameters (e.g. enthalpy) during a chemical or biochemical reaction by the known variation (step-wise or linear) of one variable, whilst a second is kept constant. [CHMO]",,,,calorimetry,http://purl.allotrope.org/ontologies/process#AFP_0001936
scattering,,aft,process,"Scattering is a general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more paths due to localized non-uniformities in the medium through which they pass. [Wikipedia]",,https://en.wikipedia.org/wiki/Scattering,,state,http://purl.allotrope.org/ontologies/process#AFP_0003594
scattering spectroscopy,,aft,process,"Any method that measures the amount of light that a substance scatters at certain wavelengths, incident angles, and polarization angles. [CHMO]",,,,spectrometry,http://purl.allotrope.org/ontologies/process#AFP_0001462
seal initiation temperature,,hot-tack,result,"A seal initiation temperature is the temperature at which a seal is initiated, determined by the seal's strength reaching 4 Newtons. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002818
secant modulus,,tensile,result,A secant modulus is the slope of a line from the origin of a stress-strain curve intersecting at a given strain value. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002590
